iter	MultiClass
0	1.800992352
1	1.687582799
2	1.594144222
3	1.521598215
4	1.461640166
5	1.410402121
6	1.367212857
7	1.330458613
8	1.297146945
9	1.267455903
10	1.242550148
11	1.220292395
12	1.199658412
13	1.181588673
14	1.166075594
15	1.152563005
16	1.140452094
17	1.128502688
18	1.11739667
19	1.108551523
20	1.098755551
21	1.090520948
22	1.080375232
23	1.073489969
24	1.06711662
25	1.061861213
26	1.056030375
27	1.04993629
28	1.044996704
29	1.041249753
30	1.035712261
31	1.029792261
32	1.025477148
33	1.018886785
34	1.015573288
35	1.01079955
36	1.006597377
37	1.002884484
38	0.9999354148
39	0.9960560735
40	0.9935675882
41	0.9891470908
42	0.9876112532
43	0.9843488032
44	0.9826152018
45	0.9799264026
46	0.9767051359
47	0.9732020688
48	0.9697567434
49	0.9677889123
50	0.965188389
51	0.962236427
52	0.9600392614
53	0.957649722
54	0.9543458294
55	0.9524092878
56	0.9503448268
57	0.9476075607
58	0.9459301257
59	0.9440397767
60	0.9408210678
61	0.9395167725
62	0.9370684906
63	0.934460078
64	0.9328513113
65	0.9316282654
66	0.9300882616
67	0.9285176034
68	0.926132699
69	0.9243134931
70	0.9204990985
71	0.9192152492
72	0.9168663228
73	0.9150957728
74	0.9117863184
75	0.9099799692
76	0.9079786618
77	0.9066580417
78	0.9051681132
79	0.9033038097
80	0.9010379089
81	0.8994400254
82	0.8981578121
83	0.8966319841
84	0.8946274501
85	0.8928754412
86	0.8906961027
87	0.8893968641
88	0.8881576901
89	0.8865859409
90	0.8831656678
91	0.8808009657
92	0.8794184927
93	0.8761231263
94	0.8746929566
95	0.8734782573
96	0.8724115051
97	0.8712530026
98	0.8697212935
99	0.868125194
100	0.8664126873
101	0.8647587057
102	0.8628750549
103	0.8617271874
104	0.8599992489
105	0.8576507328
106	0.8561431041
107	0.8547797601
108	0.8528915077
109	0.8512615264
110	0.8492487861
111	0.8484737761
112	0.8466572912
113	0.8455276058
114	0.8429510274
115	0.8412394939
116	0.840618703
117	0.838904182
118	0.838352521
119	0.8359015606
120	0.8340165605
121	0.8322990223
122	0.830055433
123	0.8293993912
124	0.8276211788
125	0.8254475466
126	0.8239223202
127	0.8223872667
128	0.819602073
129	0.8185081884
130	0.8171610156
131	0.8163796588
132	0.8153333977
133	0.8135760569
134	0.8128708724
135	0.8106701686
136	0.8099972762
137	0.8094759958
138	0.8076307384
139	0.8060627807
140	0.8051483849
141	0.8041559843
142	0.8035256883
143	0.8026033652
144	0.8010574197
145	0.7994546215
146	0.798385999
147	0.7971056796
148	0.7953737228
149	0.7947521461
150	0.7942672511
151	0.792962832
152	0.7921982045
153	0.7904716902
154	0.7896589808
155	0.7884483213
156	0.7867499137
157	0.7858297958
158	0.7842724915
159	0.7827861777
160	0.7821679637
161	0.7817544147
162	0.7794607169
163	0.7790490853
164	0.7777046687
165	0.7758484792
166	0.7740965192
167	0.7725273365
168	0.7721857403
169	0.7714074643
170	0.7704874311
171	0.7702715685
172	0.7693443772
173	0.7681833862
174	0.7669401187
175	0.7654559917
176	0.7638586133
177	0.7629480877
178	0.761934143
179	0.7607678756
180	0.7583803966
181	0.7565645064
182	0.7557066756
183	0.7548476737
184	0.7546588166
185	0.7536350528
186	0.753047484
187	0.752235444
188	0.751854464
189	0.7504059865
190	0.7492432155
191	0.7471656598
192	0.7455563515
193	0.7445484737
194	0.7430798386
195	0.7421738618
196	0.7402999201
197	0.7383118663
198	0.7371655969
199	0.7368497068
