"k_folds","cv_fold_seed","enet_mean_acc","enet_sd_acc","knn_mean_acc","knn_sd_acc","ensemble_mean_acc","ensemble_sd_acc"
3,123,0.532508819596673,0.00627108853239305,0.54501966807891,0.00861809629537628,0.55579497394883,0.00849447409190804
3,456,0.533478763405442,0.00919468773197622,0.5461727389936,0.00193337165941408,0.556369900410822,0.00612681796059478
3,789,0.534050236496356,0.00501851502656859,0.551367479020771,0.00363626923911517,0.559640855844217,0.00771470837602575
3,2024,0.534822938502563,0.0200000778039678,0.537704443961732,0.0135454559347106,0.546938876591563,0.0167077775822603
3,42,0.536939951589553,0.0140098145583006,0.553291359548181,0.00800582879894089,0.554829783841003,0.00732836911887856
10,123,0.534246406428376,0.0196080085372292,0.555406640039876,0.0129557227624441,0.563878207186291,0.0136588509970552
10,456,0.535956492068974,0.0186454701053884,0.554638931113288,0.0167088595752234,0.564451158459573,0.0215129126490595
10,789,0.536351823074472,0.0220939056494332,0.565216595019858,0.0166762416526632,0.568482877163299,0.0196728516555622
10,2024,0.535990276915468,0.0208263904666229,0.55945669650574,0.026194401756058,0.564086202999843,0.0238201804966574
10,42,0.536753133839811,0.0193713409641199,0.564455290449738,0.0193695038187441,0.572329194373351,0.0174010670878179
