"fold","cv_accuracy","cv_rmse"
1,0.542389210019268,0.775963569055251
2,0.527938342967245,0.809981088768034
3,0.546589817483189,0.803450770869239
4,0.533653846153846,0.80323863682738
5,0.516810758885687,0.823525375558204
