"model","mean_cv_accuracy","sd_cv_accuracy","mean_cv_rmse","sd_cv_rmse"
"Elastic Net Logistic",0.531941445637703,0.014058534591338,0.811646168128202,0.0193443617187585
"Random Forest (clf)",0.665830367985088,0.00517566853159764,0.675672542614671,0.0155352710028504
"XGBoost (clf)",0.642947027582757,0.0177040967440861,0.707164949762207,0.0114683927229041
