"fold","cv_accuracy"
1,0.573359073359073
2,0.564547206165703
3,0.532818532818533
4,0.561538461538462
5,0.570057581573896
6,0.522072936660269
7,0.53757225433526
8,0.571153846153846
9,0.522988505747126
10,0.507692307692308
