"model","mean_cv_accuracy","sd_cv_accuracy","mean_cv_rmse","sd_cv_rmse"
"Random Forest",0.678528387709154,0.0176878160849821,0.663874373826327,0.0256865215442866
"XGBoost",0.666982492645346,0.017498137090891,0.678462324754584,0.0271008520970923
"NN-picked RF vs XGB",0.678528387709154,0.0176878160849821,0.663874373826327,0.0256865215442866
