"fold","stacked_accuracy","stacked_rmse","ols","multinom","enet_reg","knn","lasso_mn"
1,0.561776061776062,0.685945305682192,0.555984555984556,0.569498069498069,0.534749034749035,0.563706563706564,0.567567567567568
2,0.551059730250482,0.714087507100371,0.51252408477842,0.516377649325626,0.522157996146435,0.522157996146435,0.510597302504817
3,0.563706563706564,0.758162747735692,0.519305019305019,0.542471042471042,0.538610038610039,0.555984555984556,0.534749034749035
4,0.576923076923077,0.677706211679649,0.565384615384615,0.569230769230769,0.551923076923077,0.555769230769231,0.571153846153846
5,0.560460652591171,0.690520096096587,0.539347408829175,0.539347408829175,0.535508637236084,0.527831094049904,0.535508637236084
6,0.547024952015355,0.725448057250223,0.500959692898273,0.500959692898273,0.506717850287908,0.573896353166987,0.510556621880998
7,0.558766859344894,0.716196158264829,0.516377649325626,0.527938342967245,0.520231213872832,0.5626204238921,0.527938342967245
8,0.582692307692308,0.693121100359382,0.551923076923077,0.569230769230769,0.559615384615385,0.569230769230769,0.573076923076923
9,0.532567049808429,0.724273058357532,0.490421455938697,0.526819923371648,0.498084291187739,0.532567049808429,0.524904214559387
10,0.526923076923077,0.706351216990278,0.519230769230769,0.528846153846154,0.498076923076923,0.536538461538462,0.536538461538462
