"fold","cv_accuracy","cv_rmse"
1,0.604046242774566,0.735816430152566
2,0.588631984585742,0.740384735688194
3,0.602305475504323,0.734101422921552
4,0.585576923076923,0.744208407535251
5,0.58597502401537,0.74514116154216
