"model","mean_cv_accuracy","sd_cv_accuracy","mean_cv_rmse","sd_cv_rmse"
"ols",0.527145832859823,0.0248214432146334,0.731729616017427,0.0263377468277962
"multinom",0.539071982166877,0.0238110592960752,0.786431281100157,0.0254869096310456
"enet_reg",0.526567444670546,0.0213530615504271,0.735411154278231,0.0252035092832152
"knn",0.550030249829344,0.0185856913032143,0.820543485984481,0.0170490877929015
"lasso_mn",0.539259095223436,0.0235316595738321,0.789641374839374,0.0243383907848205
