"fold","cv_accuracy"
1,0.546332046332046
2,0.510597302504817
3,0.542471042471042
4,0.555769230769231
5,0.529750479846449
6,0.495201535508637
7,0.518304431599229
8,0.565384615384615
9,0.503831417624521
10,0.501923076923077
